name,sourcefile,cloneof,year,manufacturer,status
005,segag80r.cpp,,1981,Sega,imperfect
10yard,m58.cpp,,1983,Irem,good
10yard85,m58.cpp,10yard,1985,Irem (Taito license),good
10yardj,m58.cpp,10yard,1983,Irem,good
11beat,aleck64.cpp,,1998,Hudson,preliminary
1292apvs,vc4000.cpp,,1976,Radofin,imperfect
1392apvs,vc4000.cpp,1292apvs,1976,Radofin,imperfect
18w,mw18w.cpp,,1979,Midway,preliminary
18w2,mw18w.cpp,18w,1979,Midway,preliminary
18wheelr,naomi.cpp,,2000,Sega,preliminary
18wheels,naomi.cpp,18wheelr,2000,Sega,preliminary
18wheelu,naomi.cpp,18wheelr,2000,Sega,preliminary
1941,cps1.cpp,,1990,Capcom,good
1941j,cps1.cpp,1941,1990,Capcom,good
1941r1,cps1.cpp,1941,1990,Capcom,good
1941u,cps1.cpp,1941,1990,Capcom,good
1942,1942.cpp,,1984,Capcom,good
1942a,1942.cpp,1942,1984,Capcom,good
1942abl,1942.cpp,1942,1984,bootleg,good
1942b,1942.cpp,1942,1984,Capcom,good
1942h,1942.cpp,1942,198?,hack (Two Bit Score?),good
1942p,1942.cpp,1942,1984,bootleg,good
1942w,1942.cpp,1942,1985,Capcom (Williams Electronics license),good
1943,1943.cpp,,1987,Capcom,good
1943b,1943.cpp,1943,1987,bootleg,good
1943j,1943.cpp,1943,1987,Capcom,good
1943ja,1943.cpp,1943,1987,Capcom,good
1943kai,1943.cpp,,1987,Capcom,good
1943u,1943.cpp,1943,1987,Capcom,good
1943ua,1943.cpp,1943,1987,Capcom,good
1944,cps2.cpp,,2000,Eighting / Raizing (Capcom license),good
1944d,cps2.cpp,1944,2000,bootleg,good
1944j,cps2.cpp,1944,2000,Eighting / Raizing (Capcom license),good
1945kiii,1945kiii.cpp,,2000,Oriental Soft,good
19in1,39in1.cpp,39in1,2004,bootleg,preliminary
19xx,cps2.cpp,,1996,Capcom,good
19xxa,cps2.cpp,19xx,1996,Capcom,good
19xxar1,cps2.cpp,19xx,1996,Capcom,good
19xxb,cps2.cpp,19xx,1996,Capcom,good
19xxd,cps2.cpp,19xx,1996,bootleg,good
19xxh,cps2.cpp,19xx,1996,Capcom,good
19xxj,cps2.cpp,19xx,1996,Capcom,good
19xxjr1,cps2.cpp,19xx,1996,Capcom,good
19xxjr2,cps2.cpp,19xx,1996,Capcom,good
1on1gov,zn.cpp,,2000,Tecmo,imperfect
2020bb,neogeo_noslot.cpp,,1991,SNK / Pallas,good
2020bba,neogeo_noslot.cpp,2020bb,1991,SNK / Pallas,good
2020bbh,neogeo_noslot.cpp,2020bb,1991,SNK / Pallas,good
20pacgal,20pacgal.cpp,,2000,Namco / Cosmodog,imperfect
20pacgalr0,20pacgal.cpp,20pacgal,2000,Namco / Cosmodog,imperfect
20pacgalr1,20pacgal.cpp,20pacgal,2000,Namco / Cosmodog,imperfect
20pacgalr2,20pacgal.cpp,20pacgal,2000,Namco / Cosmodog,imperfect
20pacgalr3,20pacgal.cpp,20pacgal,2000,Namco / Cosmodog,imperfect
20pacgalr4,20pacgal.cpp,20pacgal,2000,Namco / Cosmodog,imperfect
24_130,sam.cpp,24_150,2009,Stern,preliminary
24_140,sam.cpp,24_150,2009,Stern,preliminary
24_144,sam.cpp,24_150,2009,Stern,preliminary
24_150,sam.cpp,,2009,Stern,preliminary
24cdjuke,24cdjuke.cpp,,1988,Midcoin,preliminary
25pacman,20pacgal.cpp,,2006,Namco / Cosmodog,preliminary
25pacmano,20pacgal.cpp,25pacman,2005,Namco / Cosmodog,imperfect
280zzzap,mw8080bw.cpp,,1976,Dave Nutting Associates / Midway,preliminary
2mindril,2mindril.cpp,,1993,Taito,preliminary
2spicy,lindbergh.cpp,,2007,Sega,preliminary
30test,30test.cpp,,1997,Namco,good
32x,megadriv.cpp,,1994,Sega,preliminary
32x_mcd,megadriv.cpp,32x_scd,1995,Sega,preliminary
32x_mcdj,megadriv.cpp,32x_scd,1994,Sega,preliminary
32x_scd,megadriv.cpp,,1994,Sega,preliminary
32xe,megadriv.cpp,32x,1994,Sega,preliminary
32xj,megadriv.cpp,32x,1994,Sega,preliminary
386i,ngen.cpp,ngen,1990,Convergent Technologies,preliminary
39in1,39in1.cpp,,2004,bootleg,imperfect
3b1,unixpc.cpp,,1985,AT&T,preliminary
3bagflnz,aristmk4.cpp,3bagflvt,1996,Aristocrat,good
3bagflvt,aristmk4.cpp,,1996,Aristocrat,good
3countb,neogeo_noslot.cpp,,1993,SNK,good
3do,3do.cpp,,1991,The 3DO Company,preliminary
3do_m2,konamim2.cpp,,199?,3DO,preliminary
3do_pal,3do.cpp,3do,1991,The 3DO Company,preliminary
3dobios,3do.cpp,,1991,The 3DO Company,preliminary
3in1semi,snowbros.cpp,,1998,SemiCom / XESS,good
3kokushi,metro.cpp,,1996,Mitchell,imperfect
3lilpigs,piggypas.cpp,,199?,Doyle & Assoc.,preliminary
3on3dunk,inufuku.cpp,,1996,Video System Co.,imperfect
3stooges,gottlieb.cpp,,1984,Mylstar,good
3stoogesa,gottlieb.cpp,3stooges,1984,Mylstar,good
3super8,spoker.cpp,spk116it,1993?,<unknown>,preliminary
3wishrd,atronic.cpp,,2002,Atronic,preliminary
3wonders,cps1.cpp,,1991,Capcom,good
3wondersb,cps1.cpp,3wonders,1991,bootleg,good
3wondersh,cps1.cpp,3wonders,1991,bootleg,good
3wondersr1,cps1.cpp,3wonders,1991,Capcom,good
3wondersu,cps1.cpp,3wonders,1991,Capcom,good
3x3puzzl,3x3puzzl.cpp,,1998,Ace Enterprise,good
3x3puzzla,3x3puzzl.cpp,3x3puzzl,1998,Ace Enterprise,good
4004clk,4004clk.cpp,,2008,John L. Weinrich,good
40love,40love.cpp,,1984,Taito Corporation,imperfect
47pie2,ms32.cpp,,1994,Jaleco,imperfect
47pie2o,ms32.cpp,47pie2,1994,Jaleco,imperfect
48in1,39in1.cpp,39in1,2004,bootleg,preliminary
48in1a,39in1.cpp,39in1,2004,bootleg,preliminary
48in1b,39in1.cpp,39in1,2004,bootleg,preliminary
4dwarrio,system1.cpp,,1985,Coreland / Sega,good
4enlinea,4enlinea.cpp,,1991,Compumatic,preliminary
4enraya,4enraya.cpp,,1990,IDSA,good
4enrayaa,4enraya.cpp,4enraya,1990,IDSA,good
4in1,galaxold.cpp,,1981,Armenia / Food and Fun,imperfect
4in1a,39in1.cpp,39in1,2004,bootleg,preliminary
4in1b,39in1.cpp,39in1,2004,bootleg,preliminary
4in1boot,snowbros.cpp,,2002,K1 Soft,good
4psimasy,niyanpai.cpp,,1994,Sphinx / AV Japan,good
4roses,4roses.cpp,,1999,<unknown>,preliminary
4rosesa,4roses.cpp,4roses,1999,<unknown>,preliminary
500gp,namcos23.cpp,,1998,Namco,preliminary
50lions,aristmk6.cpp,,2002,Aristocrat,preliminary
50lionsa,aristmk6.cpp,50lions,2003,Aristocrat,preliminary
5acespkr,vpoker.cpp,,198?,<unknown>,preliminary
5clown,5clown.cpp,,1993,IGS,imperfect
5clowna,5clown.cpp,5clown,1993,IGS,imperfect
5clownsp,5clown.cpp,5clown,1993,IGS,imperfect
600,galaxian.cpp,turtles,1981,Konami,good
60in1,39in1.cpp,39in1,2004,bootleg,preliminary
64street,megasys1.cpp,,1991,Jaleco,good
64streetj,megasys1.cpp,64street,1991,Jaleco,good
68ksbc,68ksbc.cpp,,2002,Wichit Sirichote,good
720,atarisy2.cpp,,1986,Atari Games,good
720g,atarisy2.cpp,720,1986,Atari Games,good
720gr1,atarisy2.cpp,720,1986,Atari Games,good
720r1,atarisy2.cpp,720,1986,Atari Games,good
720r2,atarisy2.cpp,720,1986,Atari Games,good
720r3,atarisy2.cpp,720,1986,Atari Games,good
7jigen,dynax.cpp,,1990,Dynax,imperfect
7mezzo,magicfly.cpp,,198?,<unknown>,good
7ordi,nmg5.cpp,,2002,Yun Sung,good
7smash,luckgrln.cpp,,1993,Sovic,preliminary
7toitsu,mitchell.cpp,mgakuen,1988,Yuga,good
800fath,scramble.cpp,mariner,1981,Amenip (US Billiards Inc. license),imperfect
86lions,aristmk4.cpp,,1985,Aristocrat,preliminary
88games,88games.cpp,,1988,Konami,good
8ball,cvs.cpp,,1982,Century Electronics,imperfect
8ball1,cvs.cpp,8ball,1982,Century Electronics,imperfect
8ballact,dkong.cpp,,1984,Seatongrove Ltd (Magic Electronics USA license),good
8ballact2,dkong.cpp,8ballact,1984,Seatongrove Ltd (Magic Electronics USA license),good
8bpm,pacman.cpp,8ballact,1985,Seatongrove Ltd (Magic Electronics USA license),good
98best44,neoprint.cpp,,1998,SNK,preliminary
990189,tm990189.cpp,,1978,Texas Instruments,good
990189v,tm990189.cpp,990189,1980,Texas Instruments,good
99bottles,gammagic.cpp,gammagic,1999,Bally Gaming Co.,preliminary
99lstwar,kyugo.cpp,repulse,1985,Crux / Proma,good
99lstwara,kyugo.cpp,repulse,1985,Crux / Proma,good
99lstwark,kyugo.cpp,repulse,1985,Crux / Kyugo,good
9ballsht,coolpool.cpp,,1993,E-Scape EnterMedia (Bundra license),good
9ballsht2,coolpool.cpp,9ballsht,1993,E-Scape EnterMedia (Bundra license),good
9ballsht3,coolpool.cpp,9ballsht,1993,E-Scape EnterMedia (Bundra license),good
9ballshtc,coolpool.cpp,9ballsht,1993,E-Scape EnterMedia (Bundra license),good
a1000,amiga.cpp,,1985,Commodore,preliminary
a1000n,amiga.cpp,a1000,1985,Commodore,preliminary
a1200,amiga.cpp,,1992,Commodore,preliminary
a1200n,amiga.cpp,a1200,1992,Commodore,preliminary
a1200xl,atari400.cpp,a800,1982,Atari,preliminary
a130xe,atari400.cpp,a800xl,1986,Atari,preliminary
a2000,amiga.cpp,,1987,Commodore,preliminary
a2000n,amiga.cpp,a2000,1987,Commodore,preliminary
a2600,a2600.cpp,,1977,Atari,good
a2600p,a2600.cpp,a2600,1978,Atari,good
a3000,amiga.cpp,,1990,Commodore,preliminary
a3000n,amiga.cpp,a3000,1990,Commodore,preliminary
a3010,a310.cpp,a310,1988,Acorn,preliminary
a3020,a310.cpp,a310,1988,Acorn,preliminary
a310,a310.cpp,,1988,Acorn,preliminary
a400,atari400.cpp,,1979,Atari,good
a4000,amiga.cpp,,1992,Commodore,preliminary
a400030,amiga.cpp,a4000,1993,Commodore,preliminary
a400030n,amiga.cpp,a4000,1993,Commodore,preliminary
a4000n,amiga.cpp,a4000,1992,Commodore,preliminary
a4000t,amiga.cpp,,1994,Commodore,preliminary
a4000tn,amiga.cpp,a4000t,1994,Commodore,preliminary
a400pal,atari400.cpp,a400,1979,Atari,good
a500,amiga.cpp,,1987,Commodore,preliminary
a500n,amiga.cpp,a500,1987,Commodore,preliminary
a500p,amiga.cpp,,1992,Commodore,preliminary
a500pn,amiga.cpp,a500p,1992,Commodore,preliminary
a5105,a5105.cpp,,1989,VEB Robotron,preliminary
a5120,a51xx.cpp,,1982,VEB Robotron,preliminary
a5130,a51xx.cpp,a5120,1983,VEB Robotron,preliminary
a51mxr3k,jaguar.cpp,area51mx,1998,Atari Games,good
a51site4,mediagx.cpp,,1998,Atari Games,preliminary
a51site4a,mediagx.cpp,a51site4,1998,Atari Games,preliminary
a5200,atari400.cpp,,1982,Atari,good
a600,amiga.cpp,,1992,Commodore,preliminary
a600n,amiga.cpp,a600,1992,Commodore,preliminary
a600xl,atari400.cpp,a800xl,1983,Atari,imperfect
a65xe,atari400.cpp,a800xl,1986,Atari,imperfect
a65xea,atari400.cpp,a800xl,1986,Atari,preliminary
a6809,a6809.cpp,,1980,Acorn,good
a7000,riscpc.cpp,rpc600,1995,Acorn,preliminary
a7000p,riscpc.cpp,rpc600,1997,Acorn,preliminary
a7150,a7150.cpp,,1986,VEB Robotron,preliminary
a7800,a7800.cpp,,1986,Atari,good
a7800p,a7800.cpp,a7800,1986,Atari,good
a800,atari400.cpp,,1979,Atari,good
a800pal,atari400.cpp,a800,1979,Atari,good
a800xe,atari400.cpp,a800xl,1986,Atari,imperfect
a800xl,atari400.cpp,,1983,Atari,imperfect
a800xlp,atari400.cpp,a800xl,1983,Atari,imperfect
aadvent,konendev.cpp,,200?,Konami,preliminary
aafb,leland.cpp,,1989,Leland Corp.,good
aafbb,leland.cpp,aafb,1989,Leland Corp.,preliminary
aafbc,leland.cpp,aafb,1989,Leland Corp.,good
aafbd2p,leland.cpp,aafb,1989,Leland Corp.,good
aar_101,de_3.cpp,,1992,Data East,preliminary
aavenger,atari_s1.cpp,,1977,Atari,preliminary
abacus,itgamble.cpp,,200?,<unknown>,preliminary
abaseb,atarifb.cpp,,1979,Atari,good
abaseb2,atarifb.cpp,abaseb,1979,Atari,good
abattle,astrof.cpp,astrof,1979,bootleg? (Sidam),imperfect
abattle2,astrof.cpp,astrof,1979,bootleg? (Sidam),imperfect
abc110,bbc.cpp,bbcbp,1985,Acorn,preliminary
abc1600,abc1600.cpp,,1985,Luxor,preliminary
abc310,bbc.cpp,bbcbp,1985,Acorn,preliminary
abc80,abc80.cpp,,1978,Luxor Datorer AB,good
abc800c,abc80x.cpp,,1981,Luxor Datorer AB,good
abc800m,abc80x.cpp,abc800c,1981,Luxor Datorer AB,good
abc802,abc80x.cpp,,1983,Luxor Datorer AB,good
abc806,abc80x.cpp,,1983,Luxor Datorer AB,good
abclimax,lindbergh.cpp,,2006,Sega,preliminary
abcop,segaxbd.cpp,,1990,Sega,good
abcopd,segaxbd.cpp,abcop,1990,bootleg,good
abcopj,segaxbd.cpp,abcop,1990,Sega,good
abcopjd,segaxbd.cpp,abcop,1990,bootleg,good
abigchs,atronic.cpp,,2002,Atronic,preliminary
abnudge,sfbonus.cpp,,2003,Amcoe,good
abnudgeb,sfbonus.cpp,abnudge,2003,Amcoe,good
abnudged,sfbonus.cpp,abnudge,2003,Amcoe,good
abnudgeo,sfbonus.cpp,abnudge,2003,Amcoe,good
abscam,pacman.cpp,puckman,1981,GL (US Billiards license),good
abunai,nbmj8891.cpp,,1989,Green Soft,good
aburner,segaxbd.cpp,aburner2,1987,Sega,good
aburner2,segaxbd.cpp,,1987,Sega,good
aburner2g,segaxbd.cpp,aburner2,1987,Sega,good
abv106,capcom.cpp,,1996,Capcom,preliminary
abv106r,capcom.cpp,abv106,1996,Capcom,preliminary
ac1,ac1.cpp,,1984,Frank Heyder,good
ac1_32,ac1.cpp,ac1,1984,Frank Heyder,good
ac1bbclb,aces1.cpp,,199?,Ace,preliminary
ac1bbclba,aces1.cpp,ac1bbclb,199?,Ace,preliminary
ac1bluec,aces1.cpp,,199?,Pcp,preliminary
ac1blueca,aces1.cpp,ac1bluec,199?,Pcp,preliminary
ac1bluecb,aces1.cpp,ac1bluec,199?,Pcp,preliminary
ac1bluecc,aces1.cpp,ac1bluec,199?,Pcp,preliminary
ac1bluecd,aces1.cpp,ac1bluec,199?,Pcp,preliminary
ac1clbmn,aces1.cpp,,199?,Ace,preliminary
ac1clbsv,aces1.cpp,,199?,Ace,preliminary
ac1clbxt,aces1.cpp,,199?,Ace,preliminary
ac1clbxta,aces1.cpp,ac1clbxt,199?,Ace,preliminary
ac1cshtw,aces1.cpp,,199?,Ace,preliminary
ac1dbldx,aces1.cpp,,199?,Pcp,preliminary
ac1gogld,aces1.cpp,,199?,Ace,preliminary
ac1hideh,aces1.cpp,,199?,Ace,preliminary
ac1hideha,aces1.cpp,sp_hideh,199?,Ace,preliminary
ac1hotpf,aces1.cpp,,199?,Ace,preliminary
ac1nudbk,aces1.cpp,,199?,Pcp,preliminary
ac1nudbka,aces1.cpp,ac1nudbk,199?,Pcp,preliminary
ac1nudbkb,aces1.cpp,ac1nudbk,199?,Pcp,preliminary
ac1nudbkc,aces1.cpp,ac1nudbk,199?,Pcp,preliminary
ac1nudbkd,aces1.cpp,ac1nudbk,199?,Pcp,preliminary
ac1piaca,aces1.cpp,,199?,Ace,preliminary
ac1piacl,aces1.cpp,,199?,Ace,preliminary
ac1piacla,aces1.cpp,ac1piacl,199?,Ace,preliminary
ac1piaclb,aces1.cpp,ac1piacl,199?,Ace,preliminary
ac1piaclc,aces1.cpp,ac1piacl,199?,Ace,preliminary
ac1primt,aces1.cpp,,199?,Ace,preliminary
ac1prmcl,aces1.cpp,,199?,Ace,preliminary
ac1prmcla,aces1.cpp,ac1prmcl,199?,Ace,preliminary
ac1prmclb,aces1.cpp,ac1prmcl,199?,Ace,preliminary
ac1prmclc,aces1.cpp,ac1prmcl,199?,Ace,preliminary
ac1pster,aces1.cpp,,199?,Ace,preliminary
ac1pstrt,aces1.cpp,,199?,Pcp,preliminary
ac1roll,aces1.cpp,,199?,Pcp,preliminary
ac1rolla,aces1.cpp,ac1roll,199?,Pcp,preliminary
ac1rollb,aces1.cpp,ac1roll,199?,Pcp,preliminary
ac1rundx,aces1.cpp,,199?,Ace,preliminary
ac1rundxa,aces1.cpp,ac1rundx,199?,Ace,preliminary
ac1scch,ac1.cpp,ac1,1984,Frank Heyder,good
ac1shid,aces1.cpp,,199?,Ace,preliminary
ac1shida,aces1.cpp,ac1shid,199?,Ace,preliminary
ac1sstrk,aces1.cpp,,199?,Pcp,preliminary
ac1sstrka,aces1.cpp,ac1sstrk,199?,Pcp,preliminary
ac1sstrkb,aces1.cpp,ac1sstrk,199?,Pcp,preliminary
ac1taklv,aces1.cpp,,199?,Ace,preliminary
ac1totb,aces1.cpp,,199?,Ace,preliminary
ac1xpres,aces1.cpp,,199?,Pcp,preliminary
academy,mmodular.cpp,,1989,Hegener & Glaser,preliminary
ace,ace.cpp,,1976,Allied Leisure,preliminary
ace100,apple2.cpp,apple2,1982,Franklin Computer,good
aceattac,segas16b.cpp,,1988,Sega,good
aceattaca,segas16a.cpp,aceattac,1988,Sega,good
acedrvrw,namcos22.cpp,,1994,Namco,imperfect
acefruit,acefruit.cpp,,1982?,ACE,preliminary
acheart,nexus3d.cpp,,2005,Examu,preliminary
acheartf,nexus3d.cpp,,2006,Examu,preliminary
acitya,pacman.cpp,bwcasino,1983,Epos Corporation,good
aclown,atronic.cpp,,2002,Atronic,preliminary
acombat,astrof.cpp,astrof,1979,bootleg,imperfect
acombat3,astrof.cpp,astrof,1979,bootleg (Proel),imperfect
acombato,astrof.cpp,astrof,1979,bootleg,imperfect
acommand,acommand.cpp,,1994,Jaleco,preliminary
acpsx,zn.cpp,,1995,Acclaim,good
acrnsys1,acrnsys1.cpp,,1978,Acorn,good
acrobatm,nmk16.cpp,,1991,UPL (Taito license),good
act2000,sfbonus.cpp,,1999,Amcoe,good
act2000b1,sfbonus.cpp,act2000,1999,Amcoe,good
act2000bx,sfbonus.cpp,act2000,1999,Amcoe,good
act2000d1,sfbonus.cpp,act2000,1999,Amcoe,good
act2000dx,sfbonus.cpp,act2000,1999,Amcoe,good
act2000o,sfbonus.cpp,act2000,1999,Amcoe,good
act2000o2,sfbonus.cpp,act2000,1999,Amcoe,good
act2000o3,sfbonus.cpp,act2000,1999,Amcoe,good
act2000v1,sfbonus.cpp,act2000,1999,Amcoe,good
act2000vx,sfbonus.cpp,act2000,1999,Amcoe,good
actfancr,actfancr.cpp,,1989,Data East Corporation,good
actfancr1,actfancr.cpp,actfancr,1989,Data East Corporation,good
actfancrj,actfancr.cpp,actfancr,1989,Data East Corporation,good
actionhw,kickgoal.cpp,,1995,TCH,imperfect
acw443,bbc.cpp,bbcbp,1985,Acorn,preliminary
ad2083,scramble.cpp,,1983,Midcoin,imperfect
ad4ctl,bfm_sc4.cpp,,200?,BFM,preliminary
ad4ctla,bfm_sc4.cpp,ad4ctl,200?,BFM,preliminary
ad4film,bfm_sc4.cpp,,200?,BFM,preliminary
ad4filma,bfm_sc4.cpp,ad4film,200?,BFM,preliminary
ad4skill,bfm_sc4.cpp,,200?,BFM,preliminary
ad5bpfpm,bfm_ad5sw.cpp,,200?,Mazooma,preliminary
ad5bpfpma,bfm_ad5sw.cpp,ad5bpfpm,200?,Mazooma,preliminary
ad5bpfpmb,bfm_ad5sw.cpp,ad5bpfpm,200?,Mazooma,preliminary
ad5bpfpmc,bfm_ad5sw.cpp,ad5bpfpm,200?,Mazooma,preliminary
ad5bpfpmd,bfm_ad5sw.cpp,ad5bpfpm,200?,Mazooma,preliminary
ad5btc,bfm_ad5sw.cpp,,200?,BFM,preliminary
ad5btca,bfm_ad5sw.cpp,ad5btc,200?,BFM,preliminary
ad5btcb,bfm_ad5sw.cpp,ad5btc,200?,BFM,preliminary
ad5cmons,bfm_ad5sw.cpp,,200?,BFM,preliminary
ad5cmonsa,bfm_ad5sw.cpp,ad5cmons,200?,BFM,preliminary
ad5copsr,bfm_ad5sw.cpp,,200?,BFM,preliminary
ad5copsr0,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5copsr1,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5copsr2,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5copsr3,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5copsr4,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5copsr5,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5copsr6,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5copsr7,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5copsra,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrb,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrc,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrd,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsre,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrf,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrg,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrh,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5copsri,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5copsrj,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5copsrk,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrl,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrm,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrn,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsro,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrp,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrq,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrr,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrs,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5copsrt,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5copsru,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5copsrv,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrw,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrx,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsry,bfm_ad5sw.cpp,ad5copsr,200?,BFM,preliminary
ad5copsrz,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5crcpt,bfm_ad5sw.cpp,,200?,BFM,preliminary
ad5crcpta,bfm_ad5sw.cpp,ad5crcpt,200?,BFM,preliminary
ad5crsc,bfm_ad5sw.cpp,,200?,Mazooma,preliminary
ad5crsca,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5crscb,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5crscc,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5crscd,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5crsce,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5crscf,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5crscg,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5crsch,bfm_ad5sw.cpp,ad5crsc,200?,Mazooma,preliminary
ad5dnd,bfm_ad5sw.cpp,,200?,BFM,preliminary
ad5dnda,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndb,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndc,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndcl,bfm_ad5sw.cpp,,200?,BFM,preliminary
ad5dndcla,bfm_ad5sw.cpp,ad5dndcl,200?,BFM,preliminary
ad5dndclb,bfm_ad5sw.cpp,ad5dndcl,200?,BFM,preliminary
ad5dndclc,bfm_ad5sw.cpp,ad5dndcl,200?,BFM,preliminary
ad5dndcld,bfm_ad5sw.cpp,ad5dndcl,200?,BFM,preliminary
ad5dndcle,bfm_ad5sw.cpp,ad5dndcl,200?,BFM,preliminary
ad5dndclf,bfm_ad5sw.cpp,ad5dndcl,200?,BFM,preliminary
ad5dndclg,bfm_ad5sw.cpp,ad5dndcl,200?,BFM,preliminary
ad5dndd,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dnddd,bfm_ad5sw.cpp,,200?,BFM,preliminary
ad5dnddda,bfm_ad5sw.cpp,ad5dnddd,200?,BFM,preliminary
ad5dnde,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndf,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndg,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndh,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndi,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndj,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndk,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndl,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndm,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndn,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndo,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndp,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndpg,bfm_ad5sw.cpp,,200?,BFM,preliminary
ad5dndpga,bfm_ad5sw.cpp,ad5dndpg,200?,BFM,preliminary
ad5dndpgb,bfm_ad5sw.cpp,ad5dndpg,200?,BFM,preliminary
ad5dndpgc,bfm_ad5sw.cpp,ad5dndpg,200?,BFM,preliminary
ad5dndpl,bfm_ad5sw.cpp,,200?,BFM,preliminary
ad5dndpla,bfm_ad5sw.cpp,ad5dndpl,200?,BFM,preliminary
ad5dndplb,bfm_ad5sw.cpp,ad5dndpl,200?,BFM,preliminary
ad5dndplc,bfm_ad5sw.cpp,ad5dndpl,200?,BFM,preliminary
ad5dndq,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndr,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndu,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5dndv,bfm_ad5sw.cpp,ad5dnd,200?,BFM,preliminary
ad5eyes,bfm_ad5sw.cpp,,200?,Mazooma,preliminary
ad5eyesa,bfm_ad5sw.cpp,ad5eyes,200?,Mazooma,preliminary
ad5eyesb,bfm_ad5sw.cpp,ad5eyes,200?,Mazooma,preliminary
ad5eyesc,bfm_ad5sw.cpp,ad5eyes,200?,Mazooma,preliminary
